Time,PolarN,PolarS,AxialDP,EqDP
1996-04-15T00:00:00.000,6.296,-7.014,3.711,0.000
1996-04-15T08:00:00.000,6.301,-7.019,3.713,0.297
1996-04-15T16:00:00.000,6.304,-7.033,3.717,0.405
1996-04-16T00:00:00.000,6.305,-7.038,3.721,0.497
1996-04-16T08:00:00.000,6.307,-7.039,3.724,0.542
1996-04-16T16:00:00.000,6.300,-7.036,3.725,0.568
1996-04-17T00:00:00.000,6.294,-7.033,3.724,0.581
1996-04-17T08:00:00.000,6.293,-7.035,3.724,0.610
1996-04-17T16:00:00.000,6.294,-7.034,3.724,0.602
1996-04-18T00:00:00.000,6.297,-7.036,3.726,0.635
1996-04-18T08:00:00.000,6.296,-7.046,3.727,0.663
1996-04-18T16:00:00.000,6.290,-7.054,3.727,0.682
1996-04-19T00:00:00.000,6.292,-7.068,3.728,0.730
1996-04-19T08:00:00.000,6.290,-7.076,3.732,0.746
1996-04-19T16:00:00.000,6.284,-7.075,3.734,0.739
1996-04-20T00:00:00.000,6.286,-7.083,3.737,0.770
1996-04-20T08:00:00.000,6.281,-7.088,3.738,0.768
1996-04-20T16:00:00.000,6.280,-7.098,3.740,0.761
1996-04-21T00:00:00.000,6.275,-7.101,3.741,0.746
1996-04-21T08:00:00.000,6.249,-6.989,3.713,0.717
1996-04-21T16:00:00.000,6.244,-6.957,3.703,0.729
1996-04-22T00:00:00.000,6.248,-6.943,3.700,0.778
1996-04-22T08:00:00.000,6.245,-6.937,3.701,0.800
1996-04-22T16:00:00.000,6.246,-6.948,3.704,0.776
1996-04-23T00:00:00.000,6.257,-6.952,3.707,0.738
1996-04-23T08:00:00.000,6.246,-6.857,3.669,0.699
1996-04-23T16:00:00.000,6.257,-6.861,3.688,0.681
1996-04-24T00:00:00.000,6.241,-6.793,3.635,0.681
1996-04-24T08:00:00.000,6.237,-6.718,3.617,0.686
1996-04-24T16:00:00.000,6.228,-6.695,3.626,0.683
1996-04-25T00:00:00.000,6.206,-6.643,3.579,0.698
1996-04-25T08:00:00.000,6.196,-6.601,3.570,0.695
1996-04-25T16:00:00.000,6.181,-6.548,3.551,0.695
1996-04-26T00:00:00.000,6.179,-6.526,3.552,0.689
1996-04-26T08:00:00.000,6.159,-6.515,3.550,0.705
1996-04-26T16:00:00.000,6.133,-6.485,3.533,0.702
1996-04-27T00:00:00.000,6.120,-6.448,3.513,0.737
1996-04-27T08:00:00.000,6.107,-6.425,3.505,0.739
1996-04-27T16:00:00.000,6.098,-6.409,3.493,0.747
1996-04-28T00:00:00.000,6.086,-6.397,3.487,0.777
1996-04-28T08:00:00.000,6.082,-6.386,3.478,0.785
1996-04-28T16:00:00.000,6.079,-6.378,3.472,0.731
1996-04-29T00:00:00.000,6.084,-6.343,3.455,0.721
1996-04-29T08:00:00.000,6.085,-6.324,3.451,0.723
1996-04-29T16:00:00.000,6.071,-6.343,3.447,0.716
1996-04-30T00:00:00.000,6.053,-6.324,3.439,0.673
1996-04-30T08:00:00.000,6.035,-6.295,3.418,0.635
1996-04-30T16:00:00.000,6.026,-6.280,3.418,0.578
1996-05-01T00:00:00.000,6.023,-6.281,3.420,0.517
1996-05-01T08:00:00.000,6.024,-6.265,3.419,0.508
1996-05-01T16:00:00.000,6.012,-6.234,3.391,0.487
1996-05-02T00:00:00.000,5.991,-6.168,3.375,0.492
