% C. CONSOLIDATED & CALIBRATED FACULAR COUNTS FOR THE NORTH POLE BY NEIL SHEELEY JR. AND ANDRES MUNOZ-JARAMILLO
%
% VERSION 2 - Please indicate version used in scientific publications in case of changes.
%
% Faculae counted by hand on the best 5 images during the periods of maximum North pole coverage
% (August 15-September 15) and averaged.  Standard deviation has been turned into standard error by
% dividing it by sqrt(5).  Years with multiple observations have been averaged as well as their
% their standard errors.
%
% Calibration between campaigns was made taking advantage of the overlaps between them.   All campaigns
% were standardized to the values of the 3rd campaign in order to reduce error propagation.
% Calibration factors used were:
%
% 1. To turn 1st campaign values into 2nd campaign:  0.8733 +/- 0.0343
% 2. To turn 2nd campaign values into 3rd campaign:  0.7293 +/- 0.1918
% 3. To turn 4th campaign values into 3rd campaign:  1.6601 +/- 0.1861
%
% Original papers reporting the different data reduction campaigns are:
%
% 1st Campaign:
% Sheeley N. R. Jr. 1964 ApJ 140 731
% Sheeley N. R. Jr. 1966 ApJ 144 723
%
% 2nd Campaign:
% Sheeley N. R. Jr. 1976 J. Geophys. Res. 81 3462
%
% 3rd Campagin:
% Sheeley N. R. Jr. 1991 ApJ 374 386
%
% 4th Campagin:
% Sheeley N. R. Jr. 2008 ApJ 680 1553
%
% Details on the consolidation and calibration of the different campaigns can be found in:
%
% A. Munoz-Jaramillo, N. R. Sheeley, Jr., J. Zhang, and E. E. DeLuca
% CALIBRATING 100 YEARS OF POLAR FACULAE MEASUREMENTS: IMPLICATIONS
% FOR THE EVOLUTION OF THE HELIOSPHERIC MAGNETIC FIELD
% ApJ, 753, 146. (2012)  doi:10.1088/0004-637X/753/2/146
%
% Paper available from:
% http://www.solardynamo.org/docs/Munoz-Jaramillo_etal_ApJ2012.pdf
% 
%
% First column indicates time of measurement, all other columns alternate between facular count (Count)
% and standard error of the mean (SEM).  The first number on each column indicates the campaign (Cm) it belongs to.
% For example, 1st_Cm- Count indicates the count of polar faculae (Ct) in the first campaign (Cm).  3rd_Cm - SE
% indicates the standard error of the mean (SEM) of facular count in the third campaign (Cm) 
%
% FOR INFORMATION AND INQUIRIES, PLEASE VISIT:  www.solardynamo.org
%
% Created on 11-Nov-2015
%
%     Date (Yrs)   1st_Cm- Count    1st_Cm - SEM   2nd_Cm- Count    2nd_Cm - SEM   3rd_Cm- Count    3rd_Cm - SEM   4th_Cm- Count    4th_Cm - SEM
   1.9066658e+03  -2.3565215e+00   1.0596232e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9076658e+03  -1.9106931e+00   5.8246248e-01             NaN             NaN             NaN             NaN             NaN             NaN
   1.9086658e+03   1.8470033e+00   8.6502079e-01             NaN             NaN             NaN             NaN             NaN             NaN
   1.9096658e+03   6.6237360e+00   2.2650386e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9106658e+03   9.6171551e+00   2.7995974e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9116658e+03   7.5153927e+00   2.3741248e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9126658e+03   8.7254984e+00   2.4269953e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9136658e+03   1.3120092e+01   4.5037891e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9146658e+03   1.0954640e+01   3.4514960e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9156658e+03   1.5667683e+01   4.3191467e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9166658e+03   2.7386601e+00   9.2457263e-01             NaN             NaN             NaN             NaN             NaN             NaN
   1.9176658e+03   6.3689769e-01   4.5958573e-01             NaN             NaN             NaN             NaN             NaN             NaN
   1.9186658e+03  -1.6559340e+00   7.1999920e-01             NaN             NaN             NaN             NaN             NaN             NaN
   1.9196658e+03  -1.4457578e+01   4.3980450e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9206658e+03  -3.0953228e+01   8.7096309e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9216658e+03  -2.5348528e+01   6.8611740e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9226658e+03  -2.9934191e+01   8.3623621e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9236658e+03  -1.7450997e+01   5.0505733e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9246658e+03  -1.5795063e+01   4.2599774e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9256658e+03  -7.7701518e+00   2.7742788e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9266658e+03  -3.1207987e+00   1.4094999e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9276658e+03  -2.5475908e+00   9.8282992e-01             NaN             NaN             NaN             NaN             NaN             NaN
