% C. CONSOLIDATED & CALIBRATED FACULAR COUNTS FOR THE SOUTH POLE BY NEIL SHEELEY JR. AND ANDRES MUNOZ-JARAMILLO
%
% VERSION 2 - Please indicate version used in scientific publications in case of changes.
%
% Faculae counted by hand on the best 5 images during the periods of maximum South pole coverage
% (February 15-March 15) and averaged.  Standard deviation has been turned into standard error by
% dividing it by sqrt(5).  Years with multiple observations have been averaged as well as their
% their standard errors.
%
% Calibration between campaigns was made taking advantage of the overlaps between them.   All campaigns
% were standardized to the values of the 3rd campaign in order to reduce error propagation.
% Calibration factors used were:
%
% 1. To turn 1st campaign values into 2nd campaign:  0.8733 +/- 0.0343
% 2. To turn 2nd campaign values into 3rd campaign:  0.7293 +/- 0.1918
% 3. To turn 4th campaign values into 3rd campaign:  1.6601 +/- 0.1861
%
% Original papers reporting the different data reduction campaigns are:
%
% 1st Campaign:
% Sheeley N. R. Jr. 1964 ApJ 140 731
% Sheeley N. R. Jr. 1966 ApJ 144 723
%
% 2nd Campaign:
% Sheeley N. R. Jr. 1976 J. Geophys. Res. 81 3462
%
% 3rd Campagin:
% Sheeley N. R. Jr. 1991 ApJ 374 386
%
% 4th Campagin:
% Sheeley N. R. Jr. 2008 ApJ 680 1553
%
% Details on the consolidation and calibration of the different campaigns can be found in:
%
% A. Munoz-Jaramillo, N. R. Sheeley, Jr., J. Zhang, and E. E. DeLuca
% CALIBRATING 100 YEARS OF POLAR FACULAE MEASUREMENTS: IMPLICATIONS
% FOR THE EVOLUTION OF THE HELIOSPHERIC MAGNETIC FIELD
% ApJ, 753, 146. (2012)  doi:10.1088/0004-637X/753/2/146
%
% Paper available from:
% http://www.solardynamo.org/docs/Munoz-Jaramillo_etal_ApJ2012.pdf
% 
%
% First column indicates time of measurement, all other columns alternate between facular count (Count)
% and standard error of the mean (SEM).  The first number on each column indicates the campaign (Cm) it belongs to.
% For example, 1st_Cm- Count indicates the count of polar faculae (Ct) in the first campaign (Cm).  3rd_Cm - SEM
% indicates the standard error of the mean (SEM) of facular count in the third campaign (Cm) 
%
% FOR INFORMATION AND INQUIRIES, PLEASE VISIT:  www.solardynamo.org
%
% Created on 11-Nov-2015
%
%     Date (Yrs)   1st_Cm- Count    1st_Cm - SEM   2nd_Cm- Count    2nd_Cm - SEM   3rd_Cm- Count    3rd_Cm - SEM   4th_Cm- Count    4th_Cm - SEM
   1.9071616e+03   3.1844884e+00   1.2029924e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9081616e+03  -5.2225611e+00   1.5010212e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9091616e+03  -4.0761452e+00   1.2244636e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9101616e+03  -1.1846297e+01   3.7279969e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9111616e+03  -8.9165677e+00   2.3709918e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9121616e+03  -2.0062277e+01   5.3347317e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9131616e+03             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN
   1.9141616e+03  -9.3623960e+00   3.1895259e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9151616e+03  -8.9165677e+00   3.2884308e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9161616e+03  -7.7701518e+00   2.5094161e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9171616e+03  -7.0058746e+00   2.3449248e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9181616e+03   2.8023498e+00   1.1337664e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9191616e+03   1.4393888e+01   4.3156339e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9201616e+03   2.7768739e+01   8.0211667e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9211616e+03   3.1717505e+01   9.3291297e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9221616e+03   2.1145003e+01   6.4366538e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9231616e+03   1.9234310e+01   5.2399285e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9241616e+03   1.5795063e+01   4.9205391e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9251616e+03   1.7068858e+01   5.3584585e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9261616e+03   7.5153927e+00   2.6294925e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9271616e+03   4.5856634e+00   1.4889614e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9281616e+03   5.0951815e+00   1.9656598e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9291616e+03  -4.7130429e+00   1.5168245e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9301616e+03  -5.7320792e+00   1.7473874e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9311616e+03  -1.6049822e+01   4.5972372e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9321616e+03  -1.9616449e+01   5.3391572e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9331616e+03  -1.9106931e+01   5.2765210e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9341616e+03  -9.2987063e+00   2.7224664e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9351616e+03  -1.3756990e+01   3.8904874e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9361616e+03  -1.4266508e+01   4.4624050e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9371616e+03  -3.3755578e+00   1.2295046e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9381616e+03   3.4392475e+00   1.1006224e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9391616e+03   9.2350165e+00   2.9517116e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9401616e+03   1.1973677e+01   3.7718549e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9411616e+03   1.4903406e+01   4.3740791e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9421616e+03   1.9616449e+01   5.3053173e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9431616e+03   2.1272383e+01   5.9343117e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9441616e+03   1.7068858e+01   5.1044425e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9451616e+03   1.7960515e+01   5.1018380e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9461616e+03   1.3502231e+01   3.8520845e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9471616e+03   8.1522904e+00   2.4623074e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9481616e+03   5.6046997e+00   1.7179220e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9491616e+03  -2.4202112e+00   9.3886032e-01             NaN             NaN             NaN             NaN             NaN             NaN
   1.9501616e+03  -7.6427723e+00   2.7684076e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9511616e+03  -1.3247472e+01   3.9404793e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9521616e+03  -1.4521267e+01   4.3855630e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9531616e+03  -2.1272383e+01   5.9976124e+00             NaN             NaN             NaN             NaN             NaN             NaN
