Time,PolarN,PolarS,AxialDP,EqDP
2010-05-01T06:00:00.000,-2.339,2.183,-1.282,0.570
2010-05-01T12:00:00.000,-2.338,2.171,-1.272,0.587
2010-05-01T18:00:00.000,-2.345,2.166,-1.275,0.593
2010-05-02T00:00:00.000,-2.345,2.160,-1.256,0.603
2010-05-02T06:00:00.000,-2.341,2.160,-1.260,0.606
2010-05-02T12:00:00.000,-2.344,2.173,-1.271,0.616
2010-05-02T18:00:00.000,-2.346,2.183,-1.270,0.613
2010-05-03T00:00:00.000,-2.345,2.177,-1.247,0.606
2010-05-03T06:00:00.000,-2.347,2.184,-1.255,0.597
2010-05-03T12:00:00.000,-2.345,2.190,-1.273,0.601
2010-05-03T18:00:00.000,-2.341,2.183,-1.272,0.602
2010-05-04T00:00:00.000,-2.338,2.171,-1.258,0.615
2010-05-04T06:00:00.000,-2.337,2.169,-1.265,0.625
2010-05-04T12:00:00.000,-2.336,2.171,-1.286,0.642
2010-05-04T18:00:00.000,-2.328,2.180,-1.306,0.659
2010-05-05T00:00:00.000,-2.321,2.163,-1.297,0.660
2010-05-05T06:00:00.000,-2.315,2.158,-1.305,0.646
2010-05-05T12:00:00.000,-2.315,2.159,-1.307,0.652
2010-05-05T18:00:00.000,-2.313,2.159,-1.293,0.650
2010-05-06T00:00:00.000,-2.320,2.158,-1.279,0.645
2010-05-06T06:00:00.000,-2.327,2.152,-1.251,0.640
2010-05-06T12:00:00.000,-2.314,2.152,-1.248,0.633
2010-05-06T18:00:00.000,-2.311,2.162,-1.243,0.632
2010-05-07T00:00:00.000,-2.313,2.161,-1.244,0.623
2010-05-07T06:00:00.000,-2.314,2.171,-1.250,0.632
2010-05-07T12:00:00.000,-2.308,2.172,-1.255,0.617
2010-05-07T18:00:00.000,-2.305,2.175,-1.256,0.625
2010-05-08T00:00:00.000,-2.313,2.170,-1.242,0.619
2010-05-08T06:00:00.000,-2.321,2.177,-1.258,0.619
2010-05-08T12:00:00.000,-2.329,2.180,-1.261,0.615
2010-05-08T18:00:00.000,-2.328,2.180,-1.272,0.610
2010-05-09T00:00:00.000,-2.324,2.178,-1.274,0.603
2010-05-09T06:00:00.000,-2.325,2.184,-1.267,0.606
2010-05-09T12:00:00.000,-2.329,2.194,-1.263,0.626
2010-05-09T18:00:00.000,-2.342,2.198,-1.270,0.659
2010-05-10T00:00:00.000,-2.348,2.196,-1.263,0.665
2010-05-10T06:00:00.000,-2.340,2.213,-1.284,0.675
2010-05-10T12:00:00.000,-2.337,2.214,-1.282,0.678
2010-05-10T18:00:00.000,-2.333,2.211,-1.274,0.683
2010-05-11T00:00:00.000,-2.326,2.210,-1.265,0.694
2010-05-11T06:00:00.000,-2.326,2.211,-1.271,0.715
2010-05-11T12:00:00.000,-2.326,2.217,-1.275,0.724
2010-05-11T18:00:00.000,-2.329,2.220,-1.279,0.718
2010-05-12T00:00:00.000,-2.329,2.217,-1.265,0.704
2010-05-12T06:00:00.000,-2.333,2.217,-1.284,0.697
2010-05-12T12:00:00.000,-2.334,2.216,-1.290,0.709
2010-05-12T18:00:00.000,-2.337,2.223,-1.274,0.724
2010-05-13T00:00:00.000,-2.332,2.219,-1.270,0.730
2010-05-13T06:00:00.000,-2.321,2.214,-1.270,0.724
2010-05-13T12:00:00.000,-2.315,2.216,-1.276,0.733
2010-05-13T18:00:00.000,-2.309,2.217,-1.278,0.732
2010-05-14T00:00:00.000,-2.309,2.222,-1.281,0.748
2010-05-14T06:00:00.000,-2.309,2.224,-1.283,0.756
2010-05-14T12:00:00.000,-2.312,2.230,-1.291,0.765
2010-05-14T18:00:00.000,-2.314,2.242,-1.299,0.776
2010-05-15T00:00:00.000,-2.308,2.238,-1.275,0.768
2010-05-15T06:00:00.000,-2.300,2.237,-1.273,0.772
2010-05-15T12:00:00.000,-2.309,2.249,-1.281,0.772
